State,County ,Additional Bed Capacity Needed,Number of infections,Num of hospitalizations,Num of critical cases,Num of fatalities
Tennessee,DeKalb,8,5,0,0,0
Alabama,Chilton,8,4,0,0,0
Alaska,Hyder,8,4,0,0,0
Arkansas,Montgomery,8,4,0,0,0
Colorado,Bent,8,4,0,0,0
Colorado,Huerfano,8,4,0,0,0
Colorado,Sedgwick,8,4,0,0,0
Colorado,Yuma,8,4,0,0,0
Georgia,Berrien,8,4,0,0,0
Georgia,Brantley,8,4,0,0,0
Georgia,Candler,8,4,0,0,0
Georgia,Chattahoochee,8,4,0,0,0
Georgia,Decatur,8,4,0,0,0
Georgia,Dodge,8,4,0,0,0
Georgia,Jeff Davis,8,4,0,0,0
Georgia,Meriwether,8,4,0,0,0
Georgia,Rabun,8,4,0,0,0
Illinois,Marion,8,4,0,0,0
Kansas,Allen,8,4,0,0,0
Kentucky,Harlan,8,4,0,0,0
Kentucky,Harrison,8,4,0,0,0
Kentucky,Russell,8,4,0,0,0
Louisiana,East Feliciana,8,4,0,0,0
Louisiana,Vermilion,8,4,0,0,0
Minnesota,Pine,8,4,0,0,0
Missouri,McDonald,8,4,0,0,0
Missouri,Miller,8,4,0,0,0
Missouri,Perry,8,4,0,0,0
Missouri,Ray,8,4,0,0,0
Montana,Dawson,8,4,0,0,0
Montana,Sanders,8,4,0,0,0
New Mexico,Colfax,8,4,0,0,0
North Carolina,Bladen,8,4,0,0,0
North Carolina,Northampton,8,4,0,0,0
North Carolina,Perquimans,8,4,0,0,0
Ohio,Paulding,8,4,0,0,0
Oklahoma,Texas,8,4,0,0,0
Pennsylvania,Bradford,8,4,0,0,0
South Dakota,Bon Homme,8,4,0,0,0
South Dakota,Moody,8,4,0,0,0
Tennessee,Bledsoe,8,4,0,0,0
Texas,Andrews,8,4,0,0,0
Texas,Freestone,8,4,0,0,0
Texas,Hamilton,8,4,0,0,0
Texas,Mitchell,8,4,0,0,0
Texas,Runnels,8,4,0,0,0
Texas,Yoakum,8,4,0,0,0
Washington,Ferry,8,4,0,0,0
West Virginia,Barbour,8,4,0,0,0
West Virginia,Lincoln,8,4,0,0,0
Wyoming,Converse,8,4,0,0,0
Georgia,Ware,8,3,0,0,0
New York,Delaware,7,6,1,0,0
Virginia,Roanoke,7,6,1,0,0
West Virginia,Clay,7,6,1,0,0
Florida,Liberty,7,5,1,0,0
Indiana,Fulton,7,5,1,0,0
Indiana,Owen,7,5,1,0,0
Iowa,Bremer,7,5,1,0,0
Iowa,Marion,7,5,1,0,0
Maine,Aroostook,7,5,1,0,0
Maryland,Garrett,7,5,1,0,0
Nebraska,Scotts Bluff,7,5,1,0,0
Nebraska,Washington,7,5,1,0,0
New York,Allegany,7,5,1,0,0
New York,St. Lawrence,7,5,1,0,0
Oklahoma,Pawnee,7,5,1,0,0
Wisconsin,Barron,7,5,1,0,0
Wisconsin,Dunn,7,5,1,0,0
Wisconsin,Green Lake,7,5,1,0,0
Wisconsin,Monroe,7,5,1,0,0
Wisconsin,Polk,7,5,1,0,0
Wisconsin,Shawano,7,5,1,0,0
Illinois,Stephenson,7,5,0,0,0
Illinois,Whiteside,7,5,0,0,0
Indiana,Jay,7,5,0,0,0
Alabama,Chambers,7,4,0,0,0
Alaska,Petersburg,7,4,0,0,0
Alaska,Wrangell,7,4,0,0,0
Colorado,Kit Carson,7,4,0,0,0
Illinois,Ford,7,4,0,0,0
Illinois,Iroquois,7,4,0,0,0
Illinois,Jefferson,7,4,0,0,0
Illinois,Massac,7,4,0,0,0
Illinois,Saline,7,4,0,0,0
Indiana,Carroll,7,4,0,0,0
Indiana,Perry,7,4,0,0,0
Indiana,Spencer,7,4,0,0,0
Indiana,Washington,7,4,0,0,0
Kansas,Bourbon,7,4,0,0,0
Kansas,Dickinson,7,4,0,0,0
Kansas,Pottawatomie,7,4,0,0,0
Kentucky,Allen,7,4,0,0,0
Kentucky,Clinton,7,4,0,0,0
Kentucky,Estill,7,4,0,0,0
Kentucky,Grayson,7,4,0,0,0
Kentucky,Henry,7,4,0,0,0
Kentucky,Larue,7,4,0,0,0
Kentucky,Marion,7,4,0,0,0
Kentucky,Martin,7,4,0,0,0
Kentucky,Pendleton,7,4,0,0,0
Kentucky,Rockcastle,7,4,0,0,0
Kentucky,Trimble,7,4,0,0,0
Louisiana,Grant,7,4,0,0,0
Louisiana,Pointe Coupee,7,4,0,0,0
Louisiana,Red River,7,4,0,0,0
Louisiana,St. Helena,7,4,0,0,0
Louisiana,West Feliciana,7,4,0,0,0
Michigan,Otsego,7,4,0,0,0
Michigan,Roscommon,7,4,0,0,0
Minnesota,Dodge,7,4,0,0,0
Minnesota,Freeborn,7,4,0,0,0
Minnesota,Waseca,7,4,0,0,0
Mississippi,Adams,7,4,0,0,0
Mississippi,Lafayette,7,4,0,0,0
Mississippi,Tate,7,4,0,0,0
Mississippi,Washington,7,4,0,0,0
Missouri,Audrain,7,4,0,0,0
Missouri,Mississippi,7,4,0,0,0
Missouri,Moniteau,7,4,0,0,0
Missouri,Morgan,7,4,0,0,0
Missouri,Pemiscot,7,4,0,0,0
Missouri,Ste. Genevieve,7,4,0,0,0
Missouri,Stoddard,7,4,0,0,0
Montana,Mineral,7,4,0,0,0
Montana,Pondera,7,4,0,0,0
North Carolina,Gates,7,4,0,0,0
Ohio,Harrison,7,4,0,0,0
Oklahoma,Grady,7,4,0,0,0
Pennsylvania,Bedford,7,4,0,0,0
Pennsylvania,Huntingdon,7,4,0,0,0
Pennsylvania,Susquehanna,7,4,0,0,0
South Dakota,Grant,7,4,0,0,0
South Dakota,Hamlin,7,4,0,0,0
Tennessee,Cannon,7,4,0,0,0
Tennessee,Marshall,7,4,0,0,0
Tennessee,Overton,7,4,0,0,0
Texas,Bosque,7,4,0,0,0
Virginia,Isle of Wight,7,4,0,0,0
Virginia,Norton,7,4,0,0,0
Washington,Garfield,7,4,0,0,0
West Virginia,Lewis,7,4,0,0,0
West Virginia,Wyoming,7,4,0,0,0
Wyoming,Weston,7,4,0,0,0
Alabama,Tallapoosa,7,3,0,0,0
Georgia,Appling,7,3,0,0,0
Georgia,Bacon,7,3,0,0,0
Georgia,Crawford,7,3,0,0,0
Georgia,Dooly,7,3,0,0,0
Georgia,Greene,7,3,0,0,0
Georgia,Heard,7,3,0,0,0
Georgia,Jasper,7,3,0,0,0
Georgia,Long,7,3,0,0,0
Georgia,Macon,7,3,0,0,0
Georgia,Montgomery,7,3,0,0,0
Georgia,Telfair,7,3,0,0,0
Georgia,Worth,7,3,0,0,0
Idaho,Bear Lake,7,3,0,0,0
Idaho,Power,7,3,0,0,0
Mississippi,Union,7,3,0,0,0
New Mexico,Quay,7,3,0,0,0
Oregon,Lake,7,3,0,0,0
Tennessee,Hancock,7,3,0,0,0
Texas,Bailey,7,3,0,0,0
Texas,Castro,7,3,0,0,0
Texas,Goliad,7,3,0,0,0
Texas,Refugio,7,3,0,0,0
Texas,Swisher,7,3,0,0,0
Texas,Winkler,7,3,0,0,0
Texas,Zavala,7,3,0,0,0
Nebraska,Buffalo,6,5,1,0,0
Nebraska,Platte,6,5,1,0,0
North Dakota,Morton,6,5,1,0,0
North Dakota,Rolette,6,5,1,0,0
Illinois,Knox,6,4,0,0,0
Illinois,Mason,6,4,0,0,0
Illinois,Ogle,6,4,0,0,0
Illinois,Randolph,6,4,0,0,0
Illinois,Wabash,6,4,0,0,0
Indiana,Brown,6,4,0,0,0
Indiana,Fountain,6,4,0,0,0
Indiana,Orange,6,4,0,0,0
Indiana,Rush,6,4,0,0,0
Indiana,Sullivan,6,4,0,0,0
Indiana,Switzerland,6,4,0,0,0
Indiana,Union,6,4,0,0,0
Indiana,White,6,4,0,0,0
Iowa,Boone,6,4,0,0,0
Iowa,Henry,6,4,0,0,0
Iowa,Jasper,6,4,0,0,0
Iowa,Webster,6,4,0,0,0
Kansas,Jackson,6,4,0,0,0
Kansas,Osage,6,4,0,0,0
Kentucky,Logan,6,4,0,0,0
Louisiana,Claiborne,6,4,0,0,0
Louisiana,Concordia,6,4,0,0,0
Maine,Washington,6,4,0,0,0
Michigan,Emmet,6,4,0,0,0
Michigan,Ogemaw,6,4,0,0,0
Michigan,Osceola,6,4,0,0,0
Minnesota,Brown,6,4,0,0,0
Minnesota,Wabasha,6,4,0,0,0
Missouri,Crawford,6,4,0,0,0
Missouri,Washington,6,4,0,0,0
Montana,Custer,6,4,0,0,0
Nebraska,Cass,6,4,0,0,0
New York,Essex,6,4,0,0,0
North Carolina,Camden,6,4,0,0,0
North Carolina,Washington,6,4,0,0,0
Ohio,Morgan,6,4,0,0,0
Ohio,Noble,6,4,0,0,0
Oklahoma,Haskell,6,4,0,0,0
Pennsylvania,Clinton,6,4,0,0,0
South Dakota,McCook,6,4,0,0,0
Tennessee,Lawrence,6,4,0,0,0
Tennessee,Morgan,6,4,0,0,0
Tennessee,Scott,6,4,0,0,0
Tennessee,Trousdale,6,4,0,0,0
Utah,Sanpete,6,4,0,0,0
Virginia,Poquoson,6,4,0,0,0
West Virginia,Hampshire,6,4,0,0,0
West Virginia,McDowell,6,4,0,0,0
West Virginia,Nicholas,6,4,0,0,0
West Virginia,Summers,6,4,0,0,0
Wisconsin,Grant,6,4,0,0,0
Wisconsin,Trempealeau,6,4,0,0,0
Wyoming,Crook,6,4,0,0,0
Alabama,Dallas,6,3,0,0,0
Alabama,Geneva,6,3,0,0,0
Alabama,Jackson,6,3,0,0,0
Alabama,Pike,6,3,0,0,0
Arkansas,Newton,6,3,0,0,0
Colorado,Las Animas,6,3,0,0,0
Georgia,Brooks,6,3,0,0,0
Georgia,Emanuel,6,3,0,0,0
Georgia,Jefferson,6,3,0,0,0
Georgia,Johnson,6,3,0,0,0
Georgia,Lincoln,6,3,0,0,0
Georgia,Oglethorpe,6,3,0,0,0
Georgia,Seminole,6,3,0,0,0
Georgia,Treutlen,6,3,0,0,0
Idaho,Shoshone,6,3,0,0,0
Illinois,Effingham,6,3,0,0,0
Illinois,Perry,6,3,0,0,0
Kansas,Doniphan,6,3,0,0,0
Kansas,Sumner,6,3,0,0,0
Kentucky,Adair,6,3,0,0,0
Kentucky,Clay,6,3,0,0,0
Kentucky,Hancock,6,3,0,0,0
Kentucky,Hart,6,3,0,0,0
Kentucky,Knott,6,3,0,0,0
Kentucky,McCreary,6,3,0,0,0
Kentucky,Magoffin,6,3,0,0,0
Kentucky,Wayne,6,3,0,0,0
Louisiana,Allen,6,3,0,0,0
Louisiana,Beauregard,6,3,0,0,0
Mississippi,Lincoln,6,3,0,0,0
Mississippi,Pontotoc,6,3,0,0,0
Mississippi,Prentiss,6,3,0,0,0
Missouri,Cooper,6,3,0,0,0
Missouri,Dallas,6,3,0,0,0
Missouri,Gasconade,6,3,0,0,0
Missouri,Henry,6,3,0,0,0
Missouri,Saline,6,3,0,0,0
Montana,Powell,6,3,0,0,0
New Mexico,Sierra,6,3,0,0,0
New Mexico,Socorro,6,3,0,0,0
North Carolina,Bertie,6,3,0,0,0
North Carolina,Graham,6,3,0,0,0
Ohio,Monroe,6,3,0,0,0
Ohio,Vinton,6,3,0,0,0
Oklahoma,Choctaw,6,3,0,0,0
Oklahoma,Major,6,3,0,0,0
Oklahoma,Okfuskee,6,3,0,0,0
South Dakota,Hutchinson,6,3,0,0,0
South Dakota,Roberts,6,3,0,0,0
Texas,Brooks,6,3,0,0,0
Texas,Dimmit,6,3,0,0,0
Texas,McCulloch,6,3,0,0,0
Texas,Wilbarger,6,3,0,0,0
Virginia,Powhatan,6,3,0,0,0
West Virginia,Tyler,6,3,0,0,0
Wyoming,Hot Springs,6,3,0,0,0
Georgia,Schley,6,2,0,0,0
Georgia,Turner,6,2,0,0,0
Georgia,Washington,6,2,0,0,0
Idaho,Lincoln,6,2,0,0,0
Oklahoma,Woods,6,2,0,0,0
Oregon,Wheeler,6,2,0,0,0
Texas,Coleman,6,2,0,0,0
Texas,Garza,6,2,0,0,0
Iowa,Dickinson,5,4,0,0,0
Iowa,Sioux,5,4,0,0,0
Michigan,Benzie,5,4,0,0,0
Minnesota,Becker,5,4,0,0,0
Minnesota,Mahnomen,5,4,0,0,0
Minnesota,Otter Tail,5,4,0,0,0
Minnesota,Red Lake,5,4,0,0,0
Minnesota,Roseau,5,4,0,0,0
Minnesota,Wadena,5,4,0,0,0
North Dakota,Richland,5,4,0,0,0
Pennsylvania,McKean,5,4,0,0,0
Pennsylvania,Warren,5,4,0,0,0
West Virginia,Marshall,5,4,0,0,0
Wisconsin,Juneau,5,4,0,0,0
Wisconsin,Marquette,5,4,0,0,0
Wisconsin,Oconto,5,4,0,0,0
Wisconsin,Vernon,5,4,0,0,0
Wisconsin,Waushara,5,4,0,0,0
Alabama,Bullock,5,3,0,0,0
Alabama,Lowndes,5,3,0,0,0
Colorado,Costilla,5,3,0,0,0
Colorado,Moffat,5,3,0,0,0
Illinois,Bond,5,3,0,0,0
Illinois,Henry,5,3,0,0,0
Illinois,Jersey,5,3,0,0,0
Illinois,Lawrence,5,3,0,0,0
Illinois,Richland,5,3,0,0,0
Illinois,Union,5,3,0,0,0
Indiana,Crawford,5,3,0,0,0
Indiana,Newton,5,3,0,0,0
Indiana,Parke,5,3,0,0,0
Indiana,Pike,5,3,0,0,0
Iowa,Jefferson,5,3,0,0,0
Iowa,Mahaska,5,3,0,0,0
Iowa,Washington,5,3,0,0,0
Kansas,Brown,5,3,0,0,0
Kansas,Linn,5,3,0,0,0
Kansas,Wilson,5,3,0,0,0
Kentucky,Bath,5,3,0,0,0
Kentucky,Bracken,5,3,0,0,0
Kentucky,Caldwell,5,3,0,0,0
Kentucky,Edmonson,5,3,0,0,0
Kentucky,Fleming,5,3,0,0,0
Kentucky,Green,5,3,0,0,0
Kentucky,Jackson,5,3,0,0,0
Kentucky,Lawrence,5,3,0,0,0
Kentucky,Lee,5,3,0,0,0
Kentucky,McLean,5,3,0,0,0
Kentucky,Ohio,5,3,0,0,0
Kentucky,Union,5,3,0,0,0
Kentucky,Washington,5,3,0,0,0
Kentucky,Webster,5,3,0,0,0
Louisiana,Bienville,5,3,0,0,0
Louisiana,La Salle,5,3,0,0,0
Louisiana,Natchitoches,5,3,0,0,0
Maryland,Dorchester,5,3,0,0,0
Michigan,Cheboygan,5,3,0,0,0
Michigan,Dickinson,5,3,0,0,0
Minnesota,Clearwater,5,3,0,0,0
Minnesota,Houston,5,3,0,0,0
Mississippi,Leflore,5,3,0,0,0
Mississippi,Marshall,5,3,0,0,0
Mississippi,Neshoba,5,3,0,0,0
Missouri,Benton,5,3,0,0,0
Missouri,Cedar,5,3,0,0,0
Missouri,Livingston,5,3,0,0,0
Missouri,Madison,5,3,0,0,0
Missouri,New Madrid,5,3,0,0,0
Missouri,Nodaway,5,3,0,0,0
Missouri,Pike,5,3,0,0,0
Missouri,Vernon,5,3,0,0,0
Missouri,Wright,5,3,0,0,0
Montana,Big Horn,5,3,0,0,0
Montana,Fergus,5,3,0,0,0
Montana,Musselshell,5,3,0,0,0
Montana,Teton,5,3,0,0,0
Montana,Toole,5,3,0,0,0
North Carolina,Swain,5,3,0,0,0
Oklahoma,Craig,5,3,0,0,0
Oklahoma,Garvin,5,3,0,0,0
Oklahoma,Hughes,5,3,0,0,0
Oklahoma,Jackson,5,3,0,0,0
Oklahoma,Johnston,5,3,0,0,0
Oklahoma,Latimer,5,3,0,0,0
Oklahoma,Love,5,3,0,0,0
Oklahoma,McCurtain,5,3,0,0,0
Pennsylvania,Elk,5,3,0,0,0
Pennsylvania,Fulton,5,3,0,0,0
Pennsylvania,Tioga,5,3,0,0,0
South Dakota,Charles Mix,5,3,0,0,0
South Dakota,Hanson,5,3,0,0,0
South Dakota,Meade,5,3,0,0,0
South Dakota,Walworth,5,3,0,0,0
Tennessee,Fentress,5,3,0,0,0
Tennessee,Jackson,5,3,0,0,0
Tennessee,Lincoln,5,3,0,0,0
Texas,Grimes,5,3,0,0,0
Texas,Milam,5,3,0,0,0
Utah,Carbon,5,3,0,0,0
Utah,Iron,5,3,0,0,0
Utah,Morgan,5,3,0,0,0
West Virginia,Greenbrier,5,3,0,0,0
West Virginia,Roane,5,3,0,0,0
Wyoming,Carbon,5,3,0,0,0
Wyoming,Johnson,5,3,0,0,0
Wyoming,Sublette,5,3,0,0,0
Alabama,Bibb,5,2,0,0,0
Alabama,Covington,5,2,0,0,0
Alabama,Escambia,5,2,0,0,0
Alabama,Macon,5,2,0,0,0
Alabama,Randolph,5,2,0,0,0
Georgia,Atkinson,5,2,0,0,0
Georgia,Burke,5,2,0,0,0
Georgia,Irwin,5,2,0,0,0
Georgia,McIntosh,5,2,0,0,0
Georgia,Terrell,5,2,0,0,0
Georgia,Twiggs,5,2,0,0,0
Georgia,Wheeler,5,2,0,0,0
Georgia,Wilcox,5,2,0,0,0
Idaho,Boise,5,2,0,0,0
Idaho,Caribou,5,2,0,0,0
Idaho,Oneida,5,2,0,0,0
Illinois,Macoupin,5,2,0,0,0
Kentucky,Casey,5,2,0,0,0
Kentucky,Metcalfe,5,2,0,0,0
Kentucky,Morgan,5,2,0,0,0
Kentucky,Nicholas,5,2,0,0,0
Minnesota,Aitkin,5,2,0,0,0
Minnesota,Cass,5,2,0,0,0
Mississippi,Clay,5,2,0,0,0
Mississippi,Coahoma,5,2,0,0,0
Mississippi,Covington,5,2,0,0,0
Mississippi,Grenada,5,2,0,0,0
Mississippi,Marion,5,2,0,0,0
Mississippi,Monroe,5,2,0,0,0
Mississippi,Panola,5,2,0,0,0
Mississippi,Scott,5,2,0,0,0
Mississippi,Simpson,5,2,0,0,0
Mississippi,Tippah,5,2,0,0,0
Missouri,Grundy,5,2,0,0,0
Missouri,Hickory,5,2,0,0,0
New Mexico,Mora,5,2,0,0,0
North Carolina,Pamlico,5,2,0,0,0
Oklahoma,Alfalfa,5,2,0,0,0
Oklahoma,Nowata,5,2,0,0,0
Oregon,Harney,5,2,0,0,0
Texas,Carson,5,2,0,0,0
Texas,Crosby,5,2,0,0,0
Texas,Duval,5,2,0,0,0
Texas,Floyd,5,2,0,0,0
Texas,Hansford,5,2,0,0,0
Texas,Haskell,5,2,0,0,0
Texas,Lynn,5,2,0,0,0
Texas,Mills,5,2,0,0,0
Texas,Wheeler,5,2,0,0,0
Virginia,New Kent,5,2,0,0,0
North Dakota,Williams,4,4,0,0,0
Arkansas,Jefferson,4,3,0,0,0
Illinois,Adams,4,3,0,0,0
Illinois,Lee,4,3,0,0,0
Iowa,Benton,4,3,0,0,0
Iowa,Buchanan,4,3,0,0,0
Iowa,Buena Vista,4,3,0,0,0
Iowa,Carroll,4,3,0,0,0
Iowa,Cedar,4,3,0,0,0
Iowa,Delaware,4,3,0,0,0
Iowa,Floyd,4,3,0,0,0
Iowa,Hardin,4,3,0,0,0
Iowa,Jackson,4,3,0,0,0
Iowa,Jones,4,3,0,0,0
Iowa,Mills,4,3,0,0,0
Iowa,Poweshiek,4,3,0,0,0
Iowa,Winneshiek,4,3,0,0,0
Michigan,Sanilac,4,3,0,0,0
Minnesota,Martin,4,3,0,0,0
Minnesota,Norman,4,3,0,0,0
Nebraska,Saunders,4,3,0,0,0
Nebraska,Seward,4,3,0,0,0
New Jersey,Salem,4,3,0,0,0
New York,Lewis,4,3,0,0,0
North Dakota,Ramsey,4,3,0,0,0
North Dakota,Stutsman,4,3,0,0,0
North Dakota,Traill,4,3,0,0,0
North Dakota,Walsh,4,3,0,0,0
Oklahoma,Noble,4,3,0,0,0
Texas,Madison,4,3,0,0,0
Vermont,Essex,4,3,0,0,0
Virginia,Frederick,4,3,0,0,0
Virginia,Warren,4,3,0,0,0
West Virginia,Braxton,4,3,0,0,0
West Virginia,Monroe,4,3,0,0,0
West Virginia,Randolph,4,3,0,0,0
Wisconsin,Adams,4,3,0,0,0
Wisconsin,Clark,4,3,0,0,0
Wisconsin,Crawford,4,3,0,0,0
Wisconsin,Douglas,4,3,0,0,0
Wisconsin,Iowa,4,3,0,0,0
Wisconsin,Lafayette,4,3,0,0,0
Wisconsin,Lincoln,4,3,0,0,0
Wisconsin,Marinette,4,3,0,0,0
Wisconsin,Oneida,4,3,0,0,0
Wisconsin,Pepin,4,3,0,0,0
Wisconsin,Richland,4,3,0,0,0
Alabama,Barbour,4,2,0,0,0
Alabama,Fayette,4,2,0,0,0
Alabama,Henry,4,2,0,0,0
Alaska,Aleutians West,4,2,0,0,0
Alaska,Bethel,4,2,0,0,0
Alaska,Nome,4,2,0,0,0
Colorado,Dolores,4,2,0,0,0
Colorado,Lincoln,4,2,0,0,0
Colorado,Rio Blanco,4,2,0,0,0
Colorado,Saguache,4,2,0,0,0
Colorado,Washington,4,2,0,0,0
Georgia,Calhoun,4,2,0,0,0
Georgia,Early,4,2,0,0,0
Georgia,Glascock,4,2,0,0,0
Georgia,Hancock,4,2,0,0,0
Georgia,Jenkins,4,2,0,0,0
Georgia,Marion,4,2,0,0,0
Georgia,Miller,4,2,0,0,0
Georgia,Screven,4,2,0,0,0
Georgia,Taylor,4,2,0,0,0
Georgia,Warren,4,2,0,0,0
Georgia,Wilkes,4,2,0,0,0
Georgia,Wilkinson,4,2,0,0,0
Idaho,Adams,4,2,0,0,0
Idaho,Clearwater,4,2,0,0,0
Illinois,Alexander,4,2,0,0,0
Illinois,Christian,4,2,0,0,0
Illinois,Crawford,4,2,0,0,0
Illinois,Douglas,4,2,0,0,0
Illinois,Johnson,4,2,0,0,0
Illinois,Montgomery,4,2,0,0,0
Illinois,Moultrie,4,2,0,0,0
Indiana,Martin,4,2,0,0,0
Indiana,Pulaski,4,2,0,0,0
Iowa,Clay,4,2,0,0,0
Iowa,Page,4,2,0,0,0
Iowa,Plymouth,4,2,0,0,0
Iowa,Union,4,2,0,0,0
Kansas,Anderson,4,2,0,0,0
Kansas,Clay,4,2,0,0,0
Kansas,Cloud,4,2,0,0,0
Kansas,Coffey,4,2,0,0,0
Kansas,Grant,4,2,0,0,0
Kansas,Marion,4,2,0,0,0
Kansas,Nemaha,4,2,0,0,0
Kansas,Pratt,4,2,0,0,0
Kansas,Rice,4,2,0,0,0
Kentucky,Ballard,4,2,0,0,0
Kentucky,Breathitt,4,2,0,0,0
Kentucky,Breckinridge,4,2,0,0,0
Kentucky,Butler,4,2,0,0,0
Kentucky,Elliott,4,2,0,0,0
Kentucky,Fulton,4,2,0,0,0
Kentucky,Leslie,4,2,0,0,0
Kentucky,Lewis,4,2,0,0,0
Kentucky,Livingston,4,2,0,0,0
Kentucky,Lyon,4,2,0,0,0
Kentucky,Menifee,4,2,0,0,0
Kentucky,Monroe,4,2,0,0,0
Kentucky,Owen,4,2,0,0,0
Kentucky,Todd,4,2,0,0,0
Kentucky,Trigg,4,2,0,0,0
Kentucky,Wolfe,4,2,0,0,0
Louisiana,Richland,4,2,0,0,0
Louisiana,Sabine,4,2,0,0,0
Michigan,Arenac,4,2,0,0,0
Michigan,Crawford,4,2,0,0,0
Michigan,Houghton,4,2,0,0,0
Michigan,Mason,4,2,0,0,0
Michigan,Missaukee,4,2,0,0,0
Minnesota,Fillmore,4,2,0,0,0
Minnesota,Sibley,4,2,0,0,0
Minnesota,Watonwan,4,2,0,0,0
Mississippi,Bolivar,4,2,0,0,0
Mississippi,Chickasaw,4,2,0,0,0
Mississippi,Itawamba,4,2,0,0,0
Mississippi,Leake,4,2,0,0,0
Mississippi,Newton,4,2,0,0,0
Mississippi,Sunflower,4,2,0,0,0
Mississippi,Tishomingo,4,2,0,0,0
Mississippi,Walthall,4,2,0,0,0
Missouri,Barton,4,2,0,0,0
Missouri,Bates,4,2,0,0,0
Missouri,Bollinger,4,2,0,0,0
Missouri,Caldwell,4,2,0,0,0
Missouri,Dent,4,2,0,0,0
Missouri,Howard,4,2,0,0,0
Missouri,Iron,4,2,0,0,0
Missouri,Lewis,4,2,0,0,0
Missouri,Linn,4,2,0,0,0
Missouri,Macon,4,2,0,0,0
Missouri,Montgomery,4,2,0,0,0
Missouri,Osage,4,2,0,0,0
Missouri,Ralls,4,2,0,0,0
Missouri,Ripley,4,2,0,0,0
Missouri,Texas,4,2,0,0,0
Montana,Fallon,4,2,0,0,0
Montana,Granite,4,2,0,0,0
Montana,Madison,4,2,0,0,0
Montana,Rosebud,4,2,0,0,0
Montana,Sheridan,4,2,0,0,0
Montana,Sweet Grass,4,2,0,0,0
Nebraska,Gage,4,2,0,0,0
Nevada,Churchill,4,2,0,0,0
New Hampshire,Coos,4,2,0,0,0
North Carolina,Dare,4,2,0,0,0
North Carolina,Jones,4,2,0,0,0
Oklahoma,Atoka,4,2,0,0,0
Oklahoma,Beckham,4,2,0,0,0
Oklahoma,Caddo,4,2,0,0,0
Oklahoma,Dewey,4,2,0,0,0
South Dakota,Brule,4,2,0,0,0
South Dakota,Deuel,4,2,0,0,0
South Dakota,Douglas,4,2,0,0,0
South Dakota,Kingsbury,4,2,0,0,0
South Dakota,Todd,4,2,0,0,0
Tennessee,Clay,4,2,0,0,0
Tennessee,Giles,4,2,0,0,0
Tennessee,Lewis,4,2,0,0,0
Tennessee,Moore,4,2,0,0,0
Tennessee,Pickett,4,2,0,0,0
Texas,Archer,4,2,0,0,0
Texas,Burleson,4,2,0,0,0
Texas,Childress,4,2,0,0,0
Texas,Clay,4,2,0,0,0
Texas,Crane,4,2,0,0,0
Texas,Dallam,4,2,0,0,0
Texas,Fisher,4,2,0,0,0
Texas,Jack,4,2,0,0,0
Texas,Jim Hogg,4,2,0,0,0
Texas,La Salle,4,2,0,0,0
Texas,Martin,4,2,0,0,0
Texas,Real,4,2,0,0,0
Texas,Reeves,4,2,0,0,0
Texas,San Saba,4,2,0,0,0
Texas,Stephens,4,2,0,0,0
Utah,Sevier,4,2,0,0,0
Virginia,Goochland,4,2,0,0,0
Virginia,King George,4,2,0,0,0
West Virginia,Calhoun,4,2,0,0,0
West Virginia,Doddridge,4,2,0,0,0
West Virginia,Gilmer,4,2,0,0,0
West Virginia,Grant,4,2,0,0,0
West Virginia,Hardy,4,2,0,0,0
West Virginia,Ritchie,4,2,0,0,0
West Virginia,Wirt,4,2,0,0,0
Minnesota,Stevens,3,3,0,0,0
Alabama,Butler,3,2,0,0,0
Alabama,Cleburne,3,2,0,0,0
Alabama,Hale,3,2,0,0,0
Alabama,Lamar,3,2,0,0,0
Alaska,Southeast Fairbanks,3,2,0,0,0
Alaska,Valdez-Cordova,3,2,0,0,0
Colorado,Baca,3,2,0,0,0
Colorado,San Juan,3,2,0,0,0
Georgia,Randolph,3,2,0,0,0
Georgia,Talbot,3,2,0,0,0
Idaho,Valley,3,2,0,0,0
Illinois,Bureau,3,2,0,0,0
Illinois,Carroll,3,2,0,0,0
Illinois,Clark,3,2,0,0,0
Illinois,Edwards,3,2,0,0,0
Illinois,Hardin,3,2,0,0,0
Illinois,Jo Daviess,3,2,0,0,0
Illinois,McDonough,3,2,0,0,0
Illinois,Marshall,3,2,0,0,0
Illinois,Morgan,3,2,0,0,0
Illinois,Pulaski,3,2,0,0,0
Illinois,Putnam,3,2,0,0,0
Illinois,Washington,3,2,0,0,0
Illinois,Wayne,3,2,0,0,0
Illinois,White,3,2,0,0,0
Indiana,Benton,3,2,0,0,0
Indiana,Warren,3,2,0,0,0
Iowa,Allamakee,3,2,0,0,0
Iowa,Appanoose,3,2,0,0,0
Iowa,Butler,3,2,0,0,0
Iowa,Cass,3,2,0,0,0
Iowa,Cherokee,3,2,0,0,0
Iowa,Chickasaw,3,2,0,0,0
Iowa,Clarke,3,2,0,0,0
Iowa,Clayton,3,2,0,0,0
Iowa,Crawford,3,2,0,0,0
Iowa,Emmet,3,2,0,0,0
Iowa,Fayette,3,2,0,0,0
Iowa,Grundy,3,2,0,0,0
Iowa,Hamilton,3,2,0,0,0
Iowa,Harrison,3,2,0,0,0
Iowa,Humboldt,3,2,0,0,0
