"","coc_number","coc_name","coc_category","coc_pop_2019","est_homeless_2019_scal","pit_count_from_2019","coc_pop_in_pov_2019","observed_unsheltered_homeless","estimated_total_unsheltered","sheltered_homeless_individuals","density_reduction_bed_need","total_new_shelter_beds_required","total_beds_required","cost_of_new_capacity","cost_of_quarantine_beds","total_additional_cost","county_fips","coc_name.y","coc_name_pit","in_2019_shapefile","in_2019_pit","n_cocs_in_county","n_counties_in_coc","mult_county_mult_coc","rel_type","pct_cnty_pop_coc","pct_cnty_pov_coc","primary_care_physicians_rate","primary_care_physicians_ratio","state","county","additional_bed_capacity_needed","number_of_infections","num_of_hospitalizations","num_of_critical_cases","num_of_fatalities","NAME","people_in_poverty","people_in_poverty_moe","total_population","total_population_moe","people_in_poverty_moe_pct","total_population_moe_pct","pct_in_poverty_in_cnty"
"1","AK-500","Anchorage","Other Largely Urban CoC",266776,0.450396591084773,1111,25217,97,135.8,702,351,486,1324.6,12170000,2513400,14683400,"02020","Anchorage CoC","Anchorage CoC","Yes","Yes",1,1,0,1,90.0929378073161,95.1656728809722,110,906,"Alaska","Anchorage",487,335,36,12,6,"Anchorage Municipality, Alaska",26498,2203,288946,573,0.00762426197282537,0.0019830695008756,9.17057166390952
"2","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02013","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,NA,NA,"Alaska","Aleutians East",2,1,0,0,0,"Aleutians East Borough, Alaska",525,95,3415,11,0.0278184480234261,0.00322108345534407,15.3733528550512
"3","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02016","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,83.1478260869565,72.2457627118644,35,2882,"Alaska","Aleutians West",4,2,0,0,0,"Aleutians West Census Area, Alaska",472,87,5522,126,0.0157551611734879,0.0228178196305686,8.54762767113365
"4","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02050","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,100,1004,"Alaska","Bethel",4,2,0,0,0,"Bethel Census Area, Alaska",4871,331,17542,174,0.0188690001140121,0.00991905141945046,27.7676433701972
"5","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02060","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,0,867,"Alaska","Bristol Bay",12,7,1,0,0,"Bristol Bay Borough, Alaska",50,18,863,89,0.0208574739281576,0.103128621089224,5.79374275782155
"6","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02068","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,NA,NA,"Alaska","Denali",2,1,0,0,0,"Denali Borough, Alaska",369,259,2177,384,0.118971061093248,0.176389526871842,16.9499310978411
"7","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02070","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,264,379,"Alaska","Dillingham",2,2,0,0,0,"Dillingham Census Area, Alaska",849,113,4923,26,0.022953483648182,0.00528133252082064,17.2455819622182
"8","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02090","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,78,1278,"Alaska","Fairbanks North Star",140,82,9,3,2,"Fairbanks North Star Borough, Alaska",7749,1175,95430,410,0.0123126899297915,0.00429634286911873,8.12008802263439
"9","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02100","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,277,361,"Alaska","Haines",10,6,1,0,0,"Haines Borough, Alaska",224,155,2479,33,0.0625252117789431,0.0133118192819685,9.03590157321501
"10","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02105","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,2.20450281425891,2.89855072463768,NA,NA,"Alaska","Hoonah-Angoon",2,1,0,0,0,"Hoonah-Angoon Census Area, Alaska",207,44,2131,2,0.0206475832942281,0.000938526513374003,9.71374941342093
"11","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02110","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,81.0269099907207,75.7756563245823,128,783,"Alaska","Juneau",103,60,7,2,1,"Juneau City and Borough, Alaska",2514,445,31799,181,0.0139941507594578,0.00569200289317274,7.90590899084877
"12","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02122","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,69.4847131569907,68.5659879888677,78,1274,"Alaska","Kenai Peninsula",24,14,2,1,0,"Kenai Peninsula Borough, Alaska",6827,784,56934,190,0.0137703305581902,0.00333719745670425,11.9910773878526
"13","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02130","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,101,990,"Alaska","Ketchikan Gateway",22,13,1,0,0,"Ketchikan Gateway Borough, Alaska",1433,221,13585,87,0.0162679425837321,0.00640412219359588,10.5483989694516
"14","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02150","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,76.4231811854348,69.9115044247788,126,791,"Alaska","Kodiak Island",12,7,1,0,0,"Kodiak Island Borough, Alaska",1243,282,13373,94,0.0210872653854782,0.00702908846182607,9.29484782771256
"15","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02158","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,NA,NA,"Alaska","Kusilvak",NA,NA,NA,NA,NA,"Kusilvak Census Area, Alaska",3296,147,8148,17,0.0180412371134021,0.00208640157093765,40.4516445753559
"16","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02164","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,0,1620,"Alaska","Lake and Peninsula",1,0,0,0,0,"Lake and Peninsula Borough, Alaska",217,67,1366,376,0.0490483162518302,0.275256222547584,15.8857979502196
"17","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02170","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,45,2219,"Alaska","Matanuska-Susitna",38,22,2,1,0,"Matanuska-Susitna Borough, Alaska",10476,734,101349,599,0.00724230135472476,0.00591027045160781,10.3365598081876
"18","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02180","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,91,1102,"Alaska","Nome",4,2,0,0,0,"Nome Census Area, Alaska",2221,189,9599,113,0.0196895509948953,0.0117720595895406,23.1378268569643
"19","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02185","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,31,3261,"Alaska","North Slope",1,1,0,0,0,"North Slope Borough, Alaska",904,211,9682,78,0.0217930179714935,0.00805618673827722,9.33691386077257
"20","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02188","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,52,1921,"Alaska","Northwest Arctic",2,1,0,0,0,"Northwest Arctic Borough, Alaska",1921,181,7656,33,0.0236415882967607,0.00431034482758621,25.0914315569488
"21","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02195","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,183,547,"Alaska","Petersburg",7,4,0,0,0,"Petersburg Borough, Alaska",267,82,3242,8,0.0252930289944479,0.00246761258482418,8.23565700185071
"22","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02198","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,78,1289,"Alaska","Prince of Wales-Hyder",8,4,0,0,0,"Prince of Wales-Hyder Census Area, Alaska",972,122,6415,26,0.0190179267342167,0.00405300077942323,15.1519875292284
"23","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02220","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,196,511,"Alaska","Sitka",20,12,1,0,0,"Sitka City and Borough, Alaska",639,117,8554,55,0.013677811550152,0.00642974047229366,7.470189385083
"24","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02230","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,0,1157,"Alaska","Skagway",22,13,1,0,0,"Skagway Municipality, Alaska",56,27,1054,124,0.0256166982922201,0.117647058823529,5.31309297912714
"25","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02240","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,102,984,"Alaska","Southeast Fairbanks",3,2,0,0,0,"Southeast Fairbanks Census Area, Alaska",730,141,6789,52,0.0207688908528502,0.00765944910885256,10.752688172043
"26","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02261","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,53.6286420814966,51.1378848728246,97,1031,"Alaska","Valdez-Cordova",3,2,0,0,0,"Valdez-Cordova Census Area, Alaska",747,272,9181,53,0.0296264023526849,0.00577279163489816,8.13636858729986
"27","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02275","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,119,840,"Alaska","Wrangell",7,4,0,0,0,"Wrangell City and Borough, Alaska",192,56,2463,14,0.0227365002030045,0.00568412505075112,7.79537149817296
"28","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02282","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,0,605,"Alaska","Yakutat",1,0,0,0,0,"Yakutat City and Borough, Alaska",46,26,689,79,0.0377358490566038,0.114658925979681,6.67634252539913
"29","AK-501","Alaska Balance of State","Largely Rural CoC",407919,0.213936254591972,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,"02290","Alaska Balance of State CoC","Alaska Balance of State CoC","Yes","Yes",1,28,0,2,100,100,19,5365,"Alaska","Yukon-Koyukuk",0,0,0,0,0,"Yukon-Koyukuk Census Area, Alaska",1350,113,5368,22,0.0210506706408346,0.00409836065573771,25.1490312965723
"30","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties","Largely Suburban CoC",958459,0.126666224416556,981,138532,326,456.4,466,233,689,1611.8,17235000,2767200,20002200,"01073","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Yes","Yes",1,3,0,2,100,100,108,930,"Alabama","Jefferson",423,226,25,8,4,"Jefferson County, Alabama",109707,4223,645154,853,0.00654572396668082,0.00132216494046383,17.0047771539818
"31","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties","Largely Suburban CoC",958459,0.126666224416556,981,138532,326,456.4,466,233,689,1611.8,17235000,2767200,20002200,"01115","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Yes","Yes",1,3,0,2,100,100,17,5880,"Alabama","St. Clair",92,49,5,2,1,"St. Clair County, Alabama",11268,1559,85339,232,0.0182683181194999,0.00271856946999613,13.2038106844467
"32","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties","Largely Suburban CoC",958459,0.126666224416556,981,138532,326,456.4,466,233,689,1611.8,17235000,2767200,20002200,"01117","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Yes","Yes",1,3,0,2,100,100,81,1242,"Alabama","Shelby",174,93,10,3,2,"Shelby County, Alabama",17557,1471,207934,444,0.0070743601335039,0.00213529292948724,8.44354458626295
"33","AL-501","Mobile City & County/Baldwin County","Other Largely Urban CoC",605701,0.0986446629946029,505,97891,202,282.8,150,75,357,790.6,8945000,1298400,10243400,"01003","Mobile City & County/Baldwin County CoC","Mobile City & County/Baldwin County CoC","Yes","Yes",1,2,0,2,93.0848073346884,92.2320232762204,73,1372,"Alabama","Baldwin",94,46,5,2,1,"Baldwin County, Alabama",21653,1765,204929,494,0.00861273904620625,0.00241059098517047,10.5660985024082
"34","AL-501","Mobile City & County/Baldwin County","Other Largely Urban CoC",605701,0.0986446629946029,505,97891,202,282.8,150,75,357,790.6,8945000,1298400,10243400,"01097","Mobile City & County/Baldwin County CoC","Mobile City & County/Baldwin County CoC","Yes","Yes",1,2,0,2,99.3551327717474,99.6317512274959,67,1489,"Alabama","Mobile",264,128,14,4,2,"Mobile County, Alabama",78208,3342,405635,1311,0.00823893401703502,0.00323196962786742,19.2803875405229
"35","AL-502","Florence/Northwest Alabama","Largely Rural CoC",265633,0.171251979759835,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,"01033","Florence/Northwest Alabama CoC","Florence/Northwest Alabama CoC","Yes","Yes",1,6,0,2,100,100,64,1557,"Alabama","Colbert",83,41,4,2,1,"Colbert County, Alabama",8785,848,53991,102,0.015706321423941,0.00188920375618159,16.2712303902502
"36","AL-502","Florence/Northwest Alabama","Largely Rural CoC",265633,0.171251979759835,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,"01059","Florence/Northwest Alabama CoC","Florence/Northwest Alabama CoC","Yes","Yes",1,6,0,2,100,100,44,2250,"Alabama","Franklin",46,23,2,1,0,"Franklin County, Alabama",6299,822,31129,116,0.0264062449805647,0.0037264287320505,20.2351505027466
"37","AL-502","Florence/Northwest Alabama","Largely Rural CoC",265633,0.171251979759835,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,"01077","Florence/Northwest Alabama CoC","Florence/Northwest Alabama CoC","Yes","Yes",1,6,0,2,100,100,51,1969,"Alabama","Lauderdale",122,60,7,2,1,"Lauderdale County, Alabama",13703,1196,90283,318,0.0132472336984814,0.00352225778939557,15.1778297132351
"38","AL-502","Florence/Northwest Alabama","Largely Rural CoC",265633,0.171251979759835,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,"01079","Florence/Northwest Alabama CoC","Florence/Northwest Alabama CoC","Yes","Yes",1,6,0,2,100,100,15,6610,"Alabama","Lawrence",45,22,2,1,0,"Lawrence County, Alabama",5508,733,32879,114,0.0222938653852003,0.00346725873657958,16.7523343167371
"39","AL-502","Florence/Northwest Alabama","Largely Rural CoC",265633,0.171251979759835,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,"01093","Florence/Northwest Alabama CoC","Florence/Northwest Alabama CoC","Yes","Yes",1,6,0,2,100,100,34,2983,"Alabama","Marion",39,20,2,1,0,"Marion County, Alabama",5144,799,29463,196,0.0271187591216102,0.00665241149916845,17.4591860978176
"40","AL-502","Florence/Northwest Alabama","Largely Rural CoC",265633,0.171251979759835,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,"01133","Florence/Northwest Alabama CoC","Florence/Northwest Alabama CoC","Yes","Yes",1,6,0,2,100,100,42,2372,"Alabama","Winston",37,18,2,1,0,"Winston County, Alabama",3817,513,23509,148,0.0218214300906036,0.00629546131268876,16.2363350206304
"41","AL-503","Huntsville/North Alabama","Other Largely Urban CoC",569734,0.0929963616978437,464,76264,87,121.8,253,126.5,248,623.1,6207500,1124400,7331900,"01083","Huntsville/North Alabama CoC","Huntsville/North Alabama CoC","Yes","Yes",1,3,0,2,100,100,34,2950,"Alabama","Limestone",45,27,3,1,1,"Limestone County, Alabama",12384,1371,90098,320,0.0152167639681236,0.0035516881617794,13.7450331860863
"42","AL-503","Huntsville/North Alabama","Other Largely Urban CoC",569734,0.0929963616978437,464,76264,87,121.8,253,126.5,248,623.1,6207500,1124400,7331900,"01089","Huntsville/North Alabama CoC","Huntsville/North Alabama CoC","Yes","Yes",1,3,0,2,100,100,88,1132,"Alabama","Madison",137,83,9,3,2,"Madison County, Alabama",45960,2425,348232,618,0.00696374830572722,0.00177467894966574,13.1980978198442
"43","AL-503","Huntsville/North Alabama","Other Largely Urban CoC",569734,0.0929963616978437,464,76264,87,121.8,253,126.5,248,623.1,6207500,1124400,7331900,"01103","Huntsville/North Alabama CoC","Huntsville/North Alabama CoC","Yes","Yes",1,3,0,2,100,100,49,2049,"Alabama","Morgan",66,40,4,1,1,"Morgan County, Alabama",17920,1636,117109,402,0.0139698912978507,0.00343269945093887,15.3019836220957
"44","AL-504","Montgomery City & County","Other Largely Urban CoC",383941,0.10148761335121,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,"01001","Montgomery City & County CoC","Montgomery City & County CoC","Yes","Yes",1,5,0,2,100,100,45,2220,"Alabama","Autauga",28,17,2,1,0,"Autauga County, Alabama",8422,1137,54765,147,0.0207614352232265,0.00268419611065462,15.3784351319273
"45","AL-504","Montgomery City & County","Other Largely Urban CoC",383941,0.10148761335121,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,"01011","Montgomery City & County CoC","Montgomery City & County CoC","Yes","Yes",1,5,0,2,100,100,29,3436,"Alabama","Bullock",5,3,0,0,0,"Bullock County, Alabama",3110,611,9909,196,0.061661116157029,0.0197799979816329,31.3856090422848
"46","AL-504","Montgomery City & County","Other Largely Urban CoC",383941,0.10148761335121,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,"01051","Montgomery City & County CoC","Montgomery City & County CoC","Yes","Yes",1,5,0,2,100,100,26,3889,"Alabama","Elmore",38,23,3,1,0,"Elmore County, Alabama",9462,1391,76683,435,0.0181396137344653,0.00567270451077814,12.3391103634443
"47","AL-504","Montgomery City & County","Other Largely Urban CoC",383941,0.10148761335121,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,"01085","Montgomery City & County CoC","Montgomery City & County CoC","Yes","Yes",1,5,0,2,100,100,10,10076,"Alabama","Lowndes",5,3,0,0,0,"Lowndes County, Alabama",2820,351,10099,99,0.034755916427369,0.00980295078720665,27.9235567878008
"48","AL-504","Montgomery City & County","Other Largely Urban CoC",383941,0.10148761335121,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,"01101","Montgomery City & County CoC","Montgomery City & County CoC","Yes","Yes",1,5,0,2,100,100,98,1026,"Alabama","Montgomery",89,54,6,2,1,"Montgomery County, Alabama",45479,2338,219767,576,0.0106385399081755,0.00262095765060268,20.6941897555138
"49",NA,NA,NA,NA,NA,224,NA,149,208.6,62,31,239,510.2,5990000,811800,6801800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","AL-506","Tuscaloosa City & County","Other Largely Urban CoC",206213,0.0237022567157944,44,34058,0,0,27,13.5,13,40.5,337500,81000,418500,"01125","Tuscaloosa City & County CoC","Tuscaloosa City & County CoC","Yes","Yes",1,1,0,1,100,100,72,1385,"Alabama","Tuscaloosa",14,11,1,0,0,"Tuscaloosa County, Alabama",34058,2022,195629,589,0.0103358908955216,0.00301080105710299,17.4094842789157
"51","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01005","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,32,3159,"Alabama","Barbour",4,2,0,0,0,"Barbour County, Alabama",6597,661,22856,277,0.0289201960098005,0.0121193559677984,28.8633181659083
"52","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01007","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,49,2061,"Alabama","Bibb",5,2,0,0,0,"Bibb County, Alabama",2863,770,20468,201,0.0376196990424077,0.00982020715262849,13.9876880984952
"53","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01009","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,22,4463,"Alabama","Blount",11,5,1,0,0,"Blount County, Alabama",8220,992,57082,150,0.0173785081111384,0.00262779860551487,14.4003363582215
"54","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01013","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,25,3965,"Alabama","Butler",3,2,0,0,0,"Butler County, Alabama",4640,521,19707,94,0.0264373065408231,0.00476987872329629,23.5449332724413
"55","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01017","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,42,2408,"Alabama","Chambers",7,4,0,0,0,"Chambers County, Alabama",5531,682,33274,176,0.0204964837410591,0.00528941515898299,16.6225882070085
"56","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01021","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,20,4896,"Alabama","Chilton",8,4,0,0,0,"Chilton County, Alabama",8034,1040,43260,307,0.024040684234859,0.00709662505779011,18.5714285714286
"57","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01023","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,39,2589,"Alabama","Choctaw",2,1,0,0,0,"Choctaw County, Alabama",2864,441,12875,62,0.034252427184466,0.00481553398058252,22.2446601941748
"58","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01025","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,54,1853,"Alabama","Clarke",3,1,0,0,0,"Clarke County, Alabama",6088,762,23963,116,0.0317990234945541,0.00484079622751742,25.4058339940742
"59","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01027","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,37,2673,"Alabama","Clay",3,1,0,0,0,"Clay County, Alabama",2405,406,13040,99,0.0311349693251534,0.0075920245398773,18.4432515337423
"60","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01029","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,27,3725,"Alabama","Cleburne",3,2,0,0,0,"Cleburne County, Alabama",2719,490,14659,108,0.0334265638856675,0.00736748755031039,18.5483320826796
"61","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01031","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,54,1853,"Alabama","Coffee",9,4,0,0,0,"Coffee County, Alabama",7604,731,50502,170,0.0144746742703259,0.00336620331868045,15.0568294324977
"62","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01035","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,40,2494,"Alabama","Conecuh",2,1,0,0,0,"Conecuh County, Alabama",2752,619,12381,138,0.049995961553994,0.0111461109764962,22.2276068168969
"63","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01037","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,NA,NA,"Alabama","Coosa",2,1,0,0,0,"Coosa County, Alabama",1459,418,10452,141,0.0399923459624952,0.0134902411021814,13.9590508993494
"64","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01039","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,51,1952,"Alabama","Covington",5,2,0,0,0,"Covington County, Alabama",6702,683,36586,192,0.0186683430820532,0.00524790903624337,18.318482479637
"65","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01041","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,14,6936,"Alabama","Crenshaw",3,1,0,0,0,"Crenshaw County, Alabama",2148,325,13661,55,0.023790352097211,0.00402605958568187,15.7235927091721
"66","AL-507","Alabama Balance of State","Largely Rural CoC",1484631,0.0253169495221961,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,"01043","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,42,0,2,100,100,56,1799,"Alabama","Cullman",14,6,1,0,0,"Cullman County, Alabama",12831,1294,81016,248,0.015972153648662,0.00306112372864619,15.8376123234917
